LOCATION NAME,DISPLAY_CALL_NO,ITEM_ENUM,CHRON,CountOfCHARGE_DATE,TITLE
,BF121 .M19 2004,,,9,"Grade aid with practice tests for Kosslyn and Rosenburg Psychology : the brain, the person the world / prepared by Marcia J. McKinley. "
,BF121 .M83 1999,,,5,Understanding psychology / Charles G. Morris with Albert Maisto. 
,BF121 .M99 2001,,,5,Psychology / David G. Myers. 
,BF121 .P72 2008,,,29,"Introduction to psychology / Rod Plotnik, Haig Kouyoumdjian. "
,BF121 .P72 2008,,,40,"Introduction to psychology / Rod Plotnik, Haig Kouyoumdjian. "
,BF121 .P794 1997,,,9,Psychology / Douglas A. Bernstein ... [et al.]. 
,BF121 .Sa5 2003,,,10,Psychology / John W. Santrock. 
,BF121 .W11 2008,,,55,"Invitation to psychology / Carole Wade, Carol Tavris. "
,BF121 .W11i 1999,,,1,"Invitation to psychology / Carole Wade, Carol Tavris. "
,BF121 .W11p 1998,,,37,"Psychology / Carole Wade, Carol Tavris. "
,BF121 McC 1989,,,7,Understanding human behavior / James V. McConnell. 
,BF145 .F45 2010,,,4,50 great myths of popular psychology : shattering widespread misconceptions about human behavior / Scott O. Lilienfeld ... [et al.]. 
,BF173 .F89 1980,,,2,"New introductory lectures on psychoanalysis / Sigmund Freud ; translated and edited by James Strachey, with a biographical introduction by Peter Gay. "
,BF173 .F89 1989,,,8,Outline of psycho-analysis / Sigmund Freud ; translated and edited by James Strachey ; with a biographical introduction by Peter Gay. 
,BF173 .F89a 1989,,,4,"Inhibitions, symptoms, and anxiety / Sigmund Freud ; translated by Alix Strachey ; revised and edited by James Strachey ; with a biographical introduction by Peter Gay. "
,BF173 .J95 1964,,,1,"Man and his symbols [by] Carl G. Jung and m.l. von Franz, Joseph L. Henderson, Jolande Jacobi, Aniela Jaffe. "
,BF175 .Ad5 1997,,,5,Understanding life / Alfred Adler ; edited and with an introduction by Colin Brett. 
,BF176 .F52 2007 v.2,,,1,"Measures for clinical practice and research. Volume 2, Adults : a sourcebook / Joel Fischer, Kevin Corcoran. "
,BF181 .M12 2007,,,9,"Research methods / Donald H. McBurney, Theresa L. White. "
,BF199 .Sk3 1976,,,3,About behaviorism / B. F. Skinner. 
,BF199 HAB 1984,,,4,"Psychology of adjustment / Audrey Haber, Richard P. Runyon. "
,BF311 .Ey7 2005,,,10,"Cognitive psychology : a student's handbook / Michael W. Eysenck, Mark Keane. "
,BF311 HOC 1964,,,2,Perception / Julian E. Hochberg. 
,BF318 .Ar5 1998,,,1,Awakening genius in the classroom / Thomas Armstrong. 
,BF318 .M18 2004,,,7,"Psychology of learning : a student workbook / Armando Machado, Francisco J. Silva ; forward by William Timberlake. "
,BF318 .M45 2006,,,11,Learning and behavior / James E. Mazur. 
,BF318 .M45 2006,,,4,Learning and behavior / James E. Mazur. 
,BF318 LEA 1995,,,1,Learning and skills / edited by Nicholas J. Mackintosh and Andrew M. Colman. 
,BF319.5.F4 .H28 1998,,,1,Giving and receiving feedback : building constructive communication / Patti Hathaway. 
,BF323.L5 .B74 1993,,,2,Breakthrough listening [videorecording] / [produced by] WisdomWare Learning Company. 
,BF335 .F75 2006,,,2,Human relations : a game plan for improving personal adjustment / Loren Ford. 
,BF335 .P94 2009,,,38,Psychology applied to modern life : adjustment in the 21st century / Wayne Weiten ... [et al.]. 
,BF335 .W43 2012,,,7,"Psychology applied to modern life : adjustments in the 21st century / Wayne Weiten, Dana S. Dunn, Elizabeth Yost Hammer. "
,BF335 SIM 1994,,,1,"Human adjustment / Janet A. Simons, Seth Kalichman, John W. Santrock. "
,BF385 .L88 1957,,,1,How to develop a super power memory / Harry Lorayne. 
,BF385 .M66 1994,,,1,Rapid memory in 7 days : the quick-and-easy guide to better remembering / Joan Minninger and Eleanor Dugan. 
,BF39 .M59 2007,,,3,"Understanding and using statistics in psychology : a practical introduction : or, how I came to know and love the standard error / Jeremy Miles and Philip Banyard. "
,BF39 .St1 2004,,,5,SPSS explained / Perry R. Hinton ... [et al.]. 
,BF441 .An2 2001,,,1,"Critical thinking for working students / Mike Andolina ; chapter contributor, Mary S. Andolina. "
,BF441 .B77 2000,,,4,Critical thinking for students : learn the skills of critical assessment and effective argument / Roy van den Brink-Budgen. 
,BF441 .F53 2001,,,4,Critical thinking : an introduction / Alec Fisher. 
,BF441 .P28 2002,,,2,"Critical thinking : tools for taking charge of your professional and personal life / Richard W. Paul, Linda Elder. "
,BF449 .R54 2001 HEC,,,1,Problem solving / S. Ian Robertson. 
,BF455 BEV 1987,,,2,Practical strategies for the teaching of thinking / Barry K. Beyer. 
,BF575.S75 .P92 2001,,,2,"Preventing and managing stress [videorecording] / Kantola Productions, in association with Stanford Center for Research in Disease Prevention. "
,BF636 .Ap5 2007,,,65,"Applied psychology / Hugh Coolican, [editor]. "
,BF636 .H32 2003,,,4,Applied psychology / Nicky Hayes. 
,BF637.C4 .J63 2000,,,12,Who moved my cheese? : an amazing way to deal with change in your work and in your life / Spencer Johnson. 
,BF637.C45 .L56 2001 HEC,,,1,"Dance of connection : how to talk to someone when you're mad, hurt, scared, frustrated, insulted, betrayed, or desperate / Harriet Lerner. "
,BF637.C6 .B81 2003,,,1,"Introduction to the counseling profession / Duane Brown, David J. Srebalus. "
,BF637.C6 .G29 1995,,,2,"Counseling : theory and practice / Rickey L. George, Therese S. Cristiani. "
,BF637.C6 .G45 2004,,,2,Counseling : a comprehensive profession / Samuel T. Gladding. 
,BF637.C6 .G45 2006,,,1,Counseling dictionary : concise definitions of frequently used terms / Samuel T. Gladding. 
,BF637.C6 .G45 2009,,,16,Counseling : a comprehensive profession / Samuel T. Gladding. 
,BF637.C6 .K76 1993,,,1,Personal counseling / Richard L. Knowdell and Elwood N. Chapman. 
,BF637.C6 .M22 1998,,,2,Introduction to counselling / John McLeod. 
,BF637.C6 .N33 2000,,,3,Six key approaches to counselling and therapy / Richard Nelson-Jones. 
,BF637.C6 .R63 2003,,,2,"Client-centered therapy : its current practice, implications and theory / Carl R. Rogers ; with special chapters by Elaine Dorfman, Thomas Gordon, Nicholas Hobbs. "
,BF637.H4 .B73 1999,,,1,"Helping relationship : process and skills / Lawrence M. Brammer, Ginger MacDonald. "
,BF637.H4 .B73 2003,,,3,"Helping relationship: process and skills / Lawrence M Brammer, Ginger MacDonald. "
,BF637.L4 .N14 2015 HEC,,,1,"Art and science of leadership / Afsaneh Nahavandi, University of San Diego. "
,BF637.S8 .C83 1990,,,3,Seven habits of highly effective people : restoring the character ethic / Stephen R. Covey. 
,BF637.S8 .C83 1991,,,1,Principle-centered leadership / Stephen R. Covey. 
,BF637.S8 .M17 1999 HEC,,,3,"Life strategies : doing what works, doing what matters / Phillip C. McGraw. "
,BF637.S8 .St3 2001 HEC,,,1,EQ edge : emotional intelligence and your success / Steven J. Stein and Howard E. Book. 
,BF692.2 .B73 2011,,,5,Gender : psychological perspectives / Linda Brannon. 
,BF692.2 .P95 2004,,,4,"Psychology of gender / edited by Alice H. Eagly, Anne E. Beall, Robert J. Sternberg. "
,BF698 .Al5 2003,,,6,"Personality theories : development, growth, and diversity / Bem P. Allen. "
,BF698 .El5 2009,,,7,"Personality theories : critical perspectives / Albert Ellis, Mike Abrams ; with Lidia D. Abrams ; with contributions by Alexander Nussbaum and Rebecca J. Frey. "
,BF698 .F32 1998,,,1,"Theories of personality / Jess Feist, Gregory J. Feist. "
,BF698 .F32 2001,,,3,"Theories of personality / Jess Feist, Gregory J. Feist. "
,BF698 .F32 2006,,,6,"Theories of personality / Jess Feist, Gregory J. Feist. "
,BF698 .M11 2009,,,5,Person : a new introduction to personality psychology / Dan P. McAdams. 
,BF698 .M27 2002,,,5,Theories of personality : contemporary approaches to the science of personality / Jeffrey J. Magnavita. 
,BF698 .Sch8 2005,,,93,"Theories of personality / Duane P. Schultz, Sydney Ellen Schultz. "
,BF698 IND 1995,,,3,Individual differences and personality / edited by Sarah E. Hampson and Andrew M. Colman. 
,BF698 MCA 1985,,,1,"Power, intimacy, and the life story : personological inquiries into identity / Dan P. McAdams. "
,BF698.9.C8 .Sk3 2002,,,3,Beyond freedom & dignity / B.F. Skinner. 
,BF713 .B39 1997,,,1,Lifespan development / Helen Bee. 
,BF713 .C84 2011,,,40,Theories of development : concepts and applications / William Crain. 
,BF713 .K12 2007,,,6,"Human development : a life-span view / Robert V. Kail, John C. Cavanaugh. "
,BF713 .N46 1999,,,2,"Development through life : a psychosocial approach / Barbara M. Newman, Philip R. Newman. "
,BF713 .P19 2001,,,5,"Human development / Diane E. Papalia, Sally Wendkos Olds, Ruth Duskin Feldman, in consultation with Dana Gross. "
,BF713 .Sa5 2004,,,13,Life-span development / John W. Santrock. 
,BF713 .Sa5 2006,,,4,Life-span development / John W. Santrock. 
,BF713 .Sa5 2008,,,45,Life-span development / John W. Santrock. 
,BF713 .Sch1 2006,,,46,Key concepts in developmental psychology / H. Rudolph Schaffer. 
,BF713 .Si2 2012,,,31,"Life-span human development / Carol K. Sigelman, Elizabeth A. Rider. "
,BF721 DEV 1980,,,1,Developmental psychology and society / edited by John Sants. 
,BF721 MCA 1977,,,1,"Child behaviour problems : an empirical approach to management / Roger McAuley, Patricia McAuley. "
,BF723.C5 .W11 1996,,,3,Piaget's theory of cognitive and affective development : foundations of constructivism / Barry J. Wadsworth ; with drawings by the author. 
,BF724 .St3 2002,,,4,Adolescence / Laurence Steinberg. 
,BF724.3.I3 .Er4 1968,,,1,Identity : youth and crisis / Erik H. Erikson. 
,BF76.5 .D29 2005,,,4,"Introduction to statistics and research methods : becoming a psychological detective / Stephen F. Davis, Randolph A. Smith. "
,BF76.5 .G78 2009,,,8,"Research methods for the behavioral sciences / Frederick J Gravetter, Lori-Ann B. Forzano. "
,BF76.5 .J13 2006,,,1,Research methods and statistics : a critical thinking approach / Sherri L. Jackson. 
,BF76.5 .J13 2009,,,10,Research methods and statistics : a critical thinking approach / Sherri L. Jackson. 
,BF76.5 .R73 2005,,,1,"Beginning behavioral research : a conceptual primer / Ralph L. Rosnow, Robert Rosenthal. "
,BF76.5 .Sa3 2006,,,3,Exploring research / Neil J. Salkind. 
,BF76.5 .Sa3 2009,,,14,Exploring research / Neil J. Salkind. 
,BF76.7 .P96 2010,,,20,Publication manual of the American Psychological Association. 
,BF76.78 .H17 1998,,,1,Longman Internet companion for general psychology / Cheryl J. Hamel. 
,BF77 .Sd5 1998,,,2,Psychology / Lester M. Sdorow. 
,BF78 .H55 2001,,,4,A Level psychology through diagrams / Grahame Hill. 
,BF78 CAR 1996,,,2,Study guide and unit mastery program to accompany Hilgard's Introduction to Psychology twelfth edition / Rita L. Atkinson ... [et al.] ; prepared by John G. Carlson. 
,BF789.D4 EDD 1983,,,1,"Death education / James M. Eddy, Wesley F. Alles. "
,BF81 .F82 2009,,,3,"Foundations of psychological thought : a history of psychology / edited by Barbara F. Gentile, Benjamin O. Miller. "
,BF81 .H42 2005,,,2,"Cram101 textbook outlines to accompany: An introduction to the history of psychology, Hergenhahn, 5th ed. "
,BF833 .Ad5 1992,,,3,Understanding human nature / Alfred Adler ; a new translation by Colin Brett. 
,BJ1012 .Et3 1985,,,10,Ethics : theory and practice / edited by Manuel Velasquez and Cynthia Rostankowski. 
,BJ1012 .F85 1973,,,2,Ethics / [by] William K. Frankena. 
,BJ1012 .M56 2000,,,4,"Metaethics, normative ethics, and applied ethics : historical and contemporary readings / [edited by] James Fieser. "
,BJ1853 .P84 2004,,,5,Emily Post's Etiquette. 
,BL1442.Z4 .H88 1988,,,1,Zen Buddhism / Christmas Humphreys. 
,BL2352 .B19 1977,,,5,Rastafarians : the dreadlocks of Jamaica / Leonard E. Barrett. 
,BL2530 .W5 JAC 1996,,,3,Joy comes in the morning : Elton George Griffith and the Shouter Baptists / C.M. Jacobs. 
,BL2530.J3 .Ow2 1976,,,2,Dread : the Rastafarians of Jamaica / Joseph Owens ; with an introd. by Rex Nettleford. 
,BL2530.T75 .El2 1969,,,2,"Yoruba ancestor cult in Gasparillo, its structure, organization and social function in community cohesion / by J. D. Elder. "
,BL2532.R37 .C42 1995,,,10,Rastafari : roots and ideology / Barry Chevannes. 
,BL2532.R37 .R18 1980,,,3,Rasta : Emperor Haile Selassie and the Rastafarians. 
,BL2565 .At1 1995,,,1,At the crossroads : African Caribbean religion & Christianity / edited by Burton Sankeralli ; with an introduction by George Mulrain. 
,BL2565 .B54 1989,,,4,History of religions in the Caribbean / Dale Bisnauth. 
,BL2590.B7 .B29 1978,,,1,African religions of Brazil : toward a sociology of the interpenetration of civilizations / Roger Bastide ; translated by Helen Sebba. 
,BL48 LAN 1995 v.1,Volume 1,,1,"Myth, ritual & religion / Andrew Lang. "
,BL53 .P21 1997,,,1,"Psychology of religion and coping : theory, research, practice / Kenneth I. Pargament. "
,BL60 .J65 2001,,,6,Religion in society : a sociology of religion / Ronald L. Johnstone. 
,BL80.3 .F53 2008,,,134,"Living religions / Mary Pat Fisher ; consultants, Lee W. Bailey ... [et al.] "
,BL80.3 .M43 2010,,,137,World religions / Warren Matthews. 
,BP161 .Al4 1973,,,4,"Religion of Islam : a comprehensive discussion of the sources, principles and practices of Islam / by Maulana Muhammed 'Ali. "
,BP186 .K14 1981,,,1,Diary of Muslim festivals / by Al Haj Imam Hassan Karimullah. 
,BP63.A1 .N14 1982,,,1,Among the believers : an Islamic journey / V.S. Naipaul. 
,BR563.N4 .W27 1973,,,1,"Black sects and cults, by Joseph R. Washington, Jr. "
,BR655 .C46 2001,,,6,Christianity in the Caribbean : essays on church history / edited by Armando Lampe. 
,BX1459.T7 .H23 1983,,,3,"Catholic Church in Trinidad, 1498-1852 / by John T. Harricharan. "
,BX1459.T7 .L47 1980,,,1,"Catholic church in Trinidad, 1797-1820 / Vincent Leahy. "
,BX1488.2 .L57 1981,,,3,Religion and politics in Latin America : the Catholic Church in Venezuela and Colombia / Daniel H. Levine. 
,BX8611 .Ar6 1979,,,1,Mormon experience : a history of the Latter-Day Saints / Leonard J. Arrington and Davis Bitton. 
,BX9032.T7 .H18 1980,,,2,"History of the Presbyterian church in Trinidad, 1868-1968 : the struggles of a church in colonial captivity / Idris Hamid. "
,BX9769.S18 .F86 2011,,,1,From Shakers to Spiritual Baptists : the struggle for survival of the Shakers of St. Vincent and the Grenadines / Adrian Fraser. 
,BX9798.S6533 .G35 1999,,,5,My faith: Spiritual Baptist Christian / by Hazel Ann Gibbs De Peza. 
,BX9798.S6533 .T36 1987,,,5,History of the Shouter Baptists in Trinidad and Tobago / Eudora Thomas. 
,,,,,
,CB245 .F46 2002 v.2,,,1,Humanistic tradition. Volume II : the early modern world to the present / Gloria K. Fiero. 
,CD1043.3 .K64 1996,,,3,"Archives, the very essence of our heritage / Christopher Kitching for the National Council on Archives. "
,CD935 .W67 2006,,,18,"Managing archives : foundations, principles and practice / Caroline Williams. "
,CD950 .C21 2004,,,2,Organizing archival records : a practical method of arrangement and description for small archives / David W. Carmicheal. 
,CD950 .C83 1992,,,12,Managing institutional archives : foundational principles and practices / Richard J. Cox. 
,CD950 .H91 2003,,,5,Developing and maintaining practical archives : a how-to-do-it manual / Gregory S. Hunter. 
,CD950 .K25 1993,,,22,"Keeping archives / editor, Judith Ellis. "
,CD950 .M31 1991,,,22,Managing archives and archival institutions / edited by James Gregory Bradsher ; with a foreword by Frank B. Evans. 
,CD950 .W15 1992,,,18,"Records management : integrated information systems / Patricia E. Wallace, Jo Ann Lee, Dexter R. Schubert. "
,CD950 .Ya1 1994,,,2,Starting an archives / Elizabeth Yakel. 
,CD971 .Ar2 2002,,,2,Archives and the public good : accountability and records in modern society / edited by Richard J. Cox and David A. Wallace. 
,CD974.4 .Ef3 2002,,,1,Effective approaches for managing electronic records and archives / edited by Bruce W. Dearstyne. 
,CD974.4 .M22 2006,,,4,How to manage records in the e-Environment / Julie McLeod and Catherine Hare. 
,CD974.4 .M31 2005,,,16,Managing electronic records / edited by Julie McLeod and Catherine Hare. 
,CD974.4 .R24 2006,,,4,"Record keeping in a hybrid environment : managing the creation, use, preservation and disposal of unpublished information objects in context / edited by Alistair Tough and Michael Moss. "
,CD974.4 .St4 2003,,,6,"Electronic records retention : new strategies for data life cycle management / David O. Stephens, Roderick C. Wallace. "
,CD974.4 .St4 2007,,,11,Records management : making the transition from paper to electronic / David O. Stephens. 
,DS428.2 .N32 1977,,,1,India : a wounded civilization / [by] V. S. Naipaul. 
,DS57 .Sa1 1989,,,1,Civilization before Greece and Rome / H.W.F. Saggs. 
,DU 105.2 .C39 1988,,,1,Songlines / Bruce Chatwin. 
,E185.615 .C32 1967,,,2,Black power; the politics of liberation in America [by] Stokely Carmichael & Charles V. Hamilton. 
,E185.86 .D29 1981,,,1,"Women, race, & class / Angela Y. Davis. "
,E185.97.F73 .Y2 1989,,,1,"Amos Fortune, free man / Elizabeth Yates ; illustrated by Nora S. Unwin. "
,E185.97.G3 .C55 1974,,,1,"Marcus Garvey and the vision of Africa. Edited, with an introd. and commentaries by John Henrik Clarke, with the assistance of Amy Jaques [i.e. Jacques] Garvey. "
,E185.97.G3 .M21 1987,,,1,Great Marcus Garvey / Liz Mackie. 
,E185.97.G3 .M36 1983,,,2,"Marcus Garvey, hero : a first biography / Tony Martin. "
,E263.W5 .Am3 1975,,,1,American Revolution and the West Indies / edited by Charles W. Toth. 
,F1035.N3 .B63 2003,,,1,I know who I am : a Caribbean woman's identity in Canada / Yvonne Bobb-Smith. 
,F1226 .H18 1999,,,2,Concise history of Mexico / Brian Hamnett. 
,F1408 .C57 1997,,,4,Latin America & the Caribbean : lands and peoples / David Clawson. 
,F1408.3 .Sch5 2008,,,5,Conquest of history : Spanish colonialism and national histories in the nineteenth century / Christopher Schmidt-Nowara. 
,F1409.7 .R24 2001,,,2,Reclaiming the political in Latin American history : essays from the North / edited by Gilbert M. Joseph. 
,F1410 .C71 2000,,,4,"Colonial lives : documents on Latin American history, 1550-1850 / edited by Richard Boyer, Geoffrey Spurling. "
,F1410 .L34 2000,,,11,"Latin American politics and development / edited by Howard J. Wiarda, Harvey F. Kline. "
,F1413 .C89 1998,,,1,"Cultural history of Latin America : literature, music, and the visual arts in the 19th and 20th centuries / edited by Leslie Bethell. "
,F1413 .P94 2009,,,2,Problems in modern Latin American history : sources and interpretations / edited by James A. Wood and John Charles Chasteen. 
,F1413 .Sk3 2001,,,4,"Modern Latin America / Thomas E. Skidmore, Peter H. Smith. "
,F1413 .Sk3 2010,,,20,"Modern Latin America / Thomas E. Skidmore, Peter H. Smith, James N. Green. "
,F1414 .Sch8 1993,,,3,Cultural identity and social liberation in Latin American thought / Ofelia Schutte. 
,F1414 .W73 1999,,,1,Americas : the changing face of Latin America and the Caribbean / Peter Winn. 
,F1414.2 .L34 1996,,,9,Error(12001)
,F1418 .Un3 1999,,,2,United States and Latin America : the new agenda / edited by Victor Bulmer-Thomas and James Dunkerley. 
,F1523.5 .P74 1999,,,2,"Nicaragua : a guide to the people, politics and culture / Hazel Plunkett. "
,F1602 .P24 1971,,,2,"Peoples and cultures of the Caribbean; an anthropological reader, edited and with an introd. by Michael M. Horowitz. "
,F1608 .W67 1963,,,1,"Documents of West Indian history. Volume I, 1492-1655 : from the Spanish discovery to the British conquest of Jamaica / Eric Williams "
,F1608 .W67 1994,,,7,Documents of West Indian history : from the Spanish discovery to the British conquest of Jamaica / by Eric Williams ; new introduction by Edward Scobie. 
,F1609.5 .L16 2000,,,2,"Coming, coming home : conversations II : Western education and the Caribbean intellectual ; Coming, coming, home : monographs / by George Lamming ; introduction by Rex Nettleford ; French translation by Daniella Jeffry. "
,F1612 .N32 2002,,,4,"Middle passage : impressions of five societies -British, French and Dutch - in the West Indies and South America / V.S. Naipaul. "
,F1620 .Ed9 1976,,,4,West Indian history : examination guide / Rawdon S. Edwards. 
,F1621 .Au4 1971,,,3,"Sources of West Indian history, compiled by F.R. Augier and Shirley C. Gordon. "
,F1621 .C66 1971,,,2,"History of the West Indies; Volume II : containing the natural, civil, and ecclesiastical history of each island ; with an account of the missions instituted in those islands, from the commencement of their civilization : but more especially of the missio"
,F1621 .G85 1980,,,12,"Emancipation to emigration / R. Greenwood, S. Hamber. "
,F1621 .M28 1960,,,6,Making of the West Indies / F.R. Augier...[et al.]. 
,F1621 .P24 1987,,,50,"Short history of the West Indies / J.H. Parry, P.M. Sherlock, A.P. Maingot. "
,F1621 .R63 1999,,,37,Error(12001)
,F1621 .W33 1982,,,9,West Indian heritage : a history of the West Indies / [by] Jack B. Watson. 
,F1621 .W66 1984,,,82,"From Columbus to Castro : the history of the Caribbean, 1492-1969 / Eric Williams. "
,F1629.E17 .In2 1987,,,8,"India in the Caribbean / edited, David Dabydeen, Brinsley Samaroo. "
,F1629.N4 .W67 1969,,,2,"Negro in the Caribbean, by Eric Williams. "
,F1741 .C76 2005,,,11,Error(12001)
,F1783 .K74 1970,,,2,Slave society in Cuba during the nineteenth century [by] Franklin W. Knight. 
,F1787.5 .G93 1968,,,2,Reminiscences of the Cuban Revolutionary War [by] Ernesto Che Guevara; translated [from the Spanish] by Victoria Ortiz. 
,F1787.5 .T65 1997,,,3,"Toward a new Cuba? : legacies of a revolution / edited by Miguel Angel Centeno, Mauricio Font. "
,F1788 .J77 1986,,,1,Error(12001)
,F1788 .P41 1999,,,3,Error(12001)
,F1788 .R33 2007,,,1,Error(12001)
,F1884 .C18 1997,,,1,"Maroon story : the authentic and original history of the Maroons in the history of Jamaica, 1490-1880 / Bev Carey. "
,F1901 .L82 1968,,,3,Haiti and the Dominican Republic [by] Rayford W. Logan. 
,F1921 .N51 1979,,,1,"From Dessalines to Duvalier : race colour, and national independence in Haiti / David Nicholls. "
,F1923 .G27 1982,,,1,"Slavery, war, and revolution : the British occupation of Saint Domingue, 1793-1798 / by David Patrick Geggus. "
,F1923 .H43 1997,,,1,Error(12001)
,F1923 .J23 1963,,,2,Black Jacobins; Toussaint L'Ouverture and the San Domingo Revolution. 
,F1923 .J23 1989,,,5,Black Jacobins; Toussaint L'Ouverture and the San Domingo Revolution. 
,F1923.T69 .P22 1978,,,3,"""This gilded African"" : Toussaint L'Ouverture / Wenda Parkinson. "
,F2082 .F38 1994,,,1,Montserrat : history of a Caribbean colony / Howard A. Fergus. 
,F2084 .P91 1998,,,1,Secession and self-determination in the Caribbean : Nevis and Tobago / by Ralph R. Premdas. 
,F2116 .L48 2007,,,10,"Identity and secession in the Caribbean : Tobago versus Trinidad, 1889-1980 / Learie B. Luke. "
,F2116 .W85 1971,,,5,History of Tobago / Henry Iles Woodcock. 
,F2119 .A58 1988,,,5,Towns and villages of Trinidad and Tobago / by Michael Anthony. 
,F2119 .Ar2 2003 v.3,,,3,"Tobago, ""melancholy isle"" Volume III, 1807-1898 / by Douglas Archibald. "
,F2119 .C12 1974,,,5,Calcutta to Caroni : the East Indians of Trinidad. studies edited by John Gaffar La Guerre. 
,F2119 .C12 1985,,,10,Calcutta to Caroni / edited by John La Guerre ; with a foreword by L.E.S. Braithwaite. 
,F2119 .D28 1975,,,1,David Frost introduces Trinidad and Tobago / edited by Michael Anthony and Andrew Carr. 
,F2119 .G94 2004,,,1,Guide to beaches and bays of Trinidad and Tobago. 
,F2119 .H78 2003,,,17,Evolution of modern Trinidad and Tobago / Louise Horne. 
,F2119 .In2 2003,,,2,Indian Arrival Day : Trinidad & Tobago. 
,F2119 .K52 2019,,,2,Celebrating Trinidad & Tobago's culture & the arts / Naseer Khan. 
,F2119 .L58 1991,,,2,Guinea's other suns : the African dynamic in Trinidad culture / Maureen Warner-Lewis. 
,F2119 .Ot8 1972,,,1,Story of Trinidad and Tobago in a nutshell / by C.R. Ottley. 
,F2119 .Sp8 2013,,,1,African heritage sites in Trinidad & Tobago / by Pearl Eintou Springer. 
,F2119 .T73 1993,,,3,Trinidad ethnicity / edited by Kevin A. Yelvington. 
,F2119 .W67 1963,,,37,History of the people of Trinidad & Tobago. 
,F2120 .An8 1975,,,13,Profile Trinidad : a historical survey from the discovery to 1900 / Michael Anthony. 
,F2120 .B75 1981,,,208,"History of modern Trinidad, 1783-1962 / Bridget Brereton. "
,F2120 .B75 1981,,,14,"History of modern Trinidad, 1783-1962 / Bridget Brereton. "
,F2120 .D49 1984,,,8,Years of revolt : Trinidad 1881-1888 / by Anthony de Verteuil. 
,F2120 .F86 1971,,,11,"History of Trinidad. Volume I, 1781 to 1813. "
,F2120 .F86 1971,,,7,"History of Trinidad. Volume II, 1814 to 1839. "
,F2120 .L37 1995,,,1,"Tobago in wartime, 1793-1815 / K.O. Laurence. "
,F2120 .N14 1969,,,1,Loss of El Dorado: a history [by] V. S. Naipaul. 
,F2120.T7 .D49 2010,,,3,Trinidad's French legacy. [book] / Anthony de Verteuil. 
,F2121 .R95 1972,,,1,Race and nationalism in Trinidad and Tobago: a study of decolonization in a multiracial society [by] Selwyn D. Ryan. 
,F2122 .B56 1995,,,23,Black Power Revolution of 1970 : a retrospective / edited by Selwyn Ryan & Taimoon Stewart ; with the assistance of Roy McCree. 
,F2122 .B56 1995,,,14,Black Power Revolution of 1970 : a retrospective / edited by Selwyn Ryan & Taimoon Stewart ; with the assistance of Roy McCree. 
,F2122 .C89 1983,,,2,Movement of the people : essays on independence / Selwyn R. Cudjoe. 
,F2122 .C89 2010,,,2,Indian time ah come in Trinidad and Tobago / Selwyn R. Cudjoe ; [illustrations by Glenn Roopchand]. 
,F2122 .M72 1982,,,1,Mastana bahar and Indian culture in Trinidad and Tobago : a study on the East Indians of Trinidad and Tobago / by Shamoon Mohammed. 
,F2122 .R56 1986,,,1,"Caribbean man : speeches from a political career, 1960-1986 / A.N.R. Robinson ; edited and introduced by Gregory Shaw. "
,F2122 .Sa5 2010,,,1,Politics in the Indo-Trinidadian constituencies / commentary by Lennox Sankersingh ; edited by Sandra Maharajh-Shah. 
,F2122 .T73 1988,,,1,"Trinidad and Tobago : the independence experience, 1962-1987 / edited by Selwyn Ryan with the assistance of Gloria Gordon. "
